barrios,dias_ocupados,dias_libres
Barking and Dagenham,23.322580645161292,6.677419354838708
Barnet,19.67440401505646,10.32559598494354
Bexley,22.88888888888889,7.111111111111111
Brent,18.110687022900763,11.889312977099237
Bromley,21.312937062937063,8.687062937062937
Camden,14.333764553686933,15.666235446313067
City of London,14.252525252525253,15.747474747474747
Croydon,20.549532710280374,9.450467289719626
Ealing,18.815697266993695,11.184302733006305
Enfield,20.861635220125788,9.138364779874212
Greenwich,20.832483612527312,9.167516387472688
Hackney,14.6691257838436,15.3308742161564
Hammersmith and Fulham,15.444541104828186,14.555458895171814
Haringey,17.51223241590214,12.48776758409786
Harrow,20.011600928074245,9.988399071925755
Havering,23.396551724137932,6.603448275862068
Hillingdon,21.22769230769231,8.772307692307692
Hounslow,19.615658362989326,10.384341637010674
Islington,13.851732473811442,16.148267526188558
Kensington and Chelsea,16.066265060240966,13.933734939759034
Kingston upon Thames,17.45243619489559,12.54756380510441
Lambeth,15.290710793531403,14.709289206468597
Lewisham,18.402483564645728,11.597516435354272
Merton,19.584123222748815,10.415876777251185
Newham,20.104228707564026,9.895771292435974
Redbridge,22.508955223880598,7.491044776119402
Richmond upon Thames,16.256756756756758,13.743243243243242
Southwark,15.550359712230216,14.449640287769784
Sutton,19.610714285714284,10.389285714285716
Tower Hamlets,15.708406524466751,14.291593475533249
Waltham Forest,17.707386363636363,12.292613636363637
Wandsworth,16.693084693084693,13.306915306915307
Westminster,15.23638850889193,14.76361149110807
